l1,size,top_family,top_family_count,purity
189,10,other,8,0.8
201,10,adhesive_epoxy,6,0.6
211,10,other,10,1.0
235,10,fastener,8,0.8
250,10,other,10,1.0
42,10,adhesive_epoxy,6,0.6
58,10,other,9,0.9
80,10,fastener,10,1.0
86,10,gauge_meter,5,0.5
87,10,other,5,0.5
103,9,other,6,0.6666666666666666
113,9,other,9,1.0
125,9,other,6,0.6666666666666666
154,9,other,8,0.8888888888888888
16,9,other,9,1.0
165,9,other,9,1.0
171,9,other,8,0.8888888888888888
195,9,adhesive_epoxy,9,1.0
214,9,connector_fitting,5,0.5555555555555556
218,9,other,9,1.0
227,9,other,8,0.8888888888888888
238,9,other,9,1.0
246,9,other,6,0.6666666666666666
61,9,other,8,0.8888888888888888
91,9,other,8,0.8888888888888888
100,8,other,8,1.0
119,8,other,5,0.625
136,8,adhesive_epoxy,5,0.625
183,8,gauge_meter,4,0.5
200,8,gauge_meter,4,0.5
102,7,other,7,1.0
105,7,tape,4,0.5714285714285714
111,7,other,7,1.0
122,7,other,7,1.0
167,7,other,7,1.0
222,7,adhesive_epoxy,5,0.7142857142857143
39,7,other,6,0.8571428571428571
8,7,adhesive_epoxy,4,0.5714285714285714
95,7,other,5,0.7142857142857143
129,6,other,6,1.0
176,6,other,5,0.8333333333333334
193,6,other,6,1.0
243,6,other,3,0.5
43,6,other,3,0.5
55,6,other,5,0.8333333333333334
62,6,other,4,0.6666666666666666
90,6,other,3,0.5
228,5,other,3,0.6
