target_l1,test_count,l1_missing_rate,hit10,bucket_size,bucket_purity,bucket_top_family,test_families,top_pred1_l1_when_missing
<a_190>,18,0.7777777777777778,0.16666666666666666,17,0.8235294117647058,tape,tape:18,<a_66>:2; <a_82>:1; <a_81>:1; <a_107>:1; <a_236>:1
<a_83>,18,0.7777777777777778,0.05555555555555555,38,0.9210526315789473,other,other:18,<a_222>:2; <a_31>:2; <a_191>:2; <a_160>:2; <a_52>:1
<a_93>,18,0.7777777777777778,0.05555555555555555,21,0.9047619047619048,other,other:17; gauge_meter:1,<a_160>:2; <a_222>:2; <a_200>:1; <a_101>:1; <a_238>:1
<a_107>,9,0.7777777777777778,0.0,29,1.0,other,other:9,<a_122>:1; <a_247>:1; <a_208>:1; <a_252>:1; <a_199>:1
<a_15>,9,0.7777777777777778,0.1111111111111111,24,1.0,fastener,fastener:9,<a_67>:1; <a_233>:1; <a_12>:1; <a_112>:1; <a_88>:1
<a_77>,35,0.7714285714285715,0.14285714285714285,25,0.6,connector_fitting,connector_fitting:24; other:11,<a_160>:7; <a_103>:2; <a_170>:2; <a_52>:1; <a_122>:1
<a_195>,13,0.7692307692307692,0.0,18,1.0,other,other:13,<a_145>:1; <a_122>:1; <a_199>:1; <a_71>:1; <a_89>:1
<a_145>,21,0.7619047619047619,0.23809523809523808,19,0.8947368421052632,other,other:21,<a_122>:2; <a_171>:1; <a_31>:1; <a_245>:1; <a_57>:1
<a_153>,25,0.76,0.08,22,0.9545454545454546,other,other:25,<a_160>:5; <a_126>:2; <a_191>:1; <a_163>:1; <a_11>:1
<a_183>,16,0.75,0.1875,17,0.5294117647058824,other,test_strip:11; other:5,<a_160>:2; <a_140>:2; <a_73>:1; <a_232>:1; <a_229>:1
<a_225>,27,0.7407407407407407,0.037037037037037035,22,0.5,gauge_meter,other:12; gauge_meter:11; 3d_filament:3; ventilation_fan:1,<a_142>:2; <a_19>:2; <a_38>:2; <a_121>:1; <a_202>:1
<a_115>,19,0.736842105263158,0.15789473684210525,18,1.0,tape,tape:19,<a_142>:2; <a_236>:2; <a_103>:1; <a_222>:1; <a_123>:1
<a_191>,30,0.7333333333333334,0.06666666666666667,20,1.0,other,other:30,<a_77>:4; <a_126>:2; <a_170>:2; <a_120>:2; <a_160>:1
<a_74>,22,0.7272727272727273,0.13636363636363635,21,0.9523809523809523,other,other:22,<a_122>:2; <a_140>:2; <a_193>:1; <a_199>:1; <a_160>:1
<a_185>,11,0.7272727272727273,0.18181818181818182,16,0.625,other,other:7; gauge_meter:4,<a_160>:3; <a_187>:1; <a_85>:1; <a_81>:1; <a_67>:1
<a_2>,18,0.7222222222222222,0.1111111111111111,13,1.0,other,other:18,<a_160>:3; <a_67>:1; <a_125>:1; <a_233>:1; <a_122>:1
<a_186>,7,0.7142857142857143,0.0,26,0.9615384615384616,other,other:7,<a_114>:1; <a_168>:1; <a_196>:1; <a_81>:1; <a_15>:1
<a_140>,24,0.7083333333333333,0.041666666666666664,41,0.975609756097561,other,other:24,<a_222>:2; <a_168>:1; <a_236>:1; <a_73>:1; <a_107>:1
<a_247>,10,0.7,0.2,19,0.7894736842105263,other,other:6; adhesive_epoxy:3; tape:1,<a_6>:1; <a_170>:1; <a_45>:1; <a_122>:1; <a_238>:1
<a_12>,23,0.6956521739130435,0.21739130434782608,33,0.7272727272727273,gauge_meter,gauge_meter:20; other:3,<a_170>:3; <a_74>:1; <a_118>:1; <a_93>:1; <a_236>:1
<a_129>,19,0.6842105263157895,0.3157894736842105,17,0.7058823529411765,other,other:17; adhesive_epoxy:2,<a_92>:1; <a_160>:1; <a_54>:1; <a_83>:1; <a_58>:1
<a_236>,44,0.6818181818181819,0.045454545454545456,39,0.9743589743589743,tape,tape:41; 3d_filament:3,<a_160>:3; <a_142>:2; <a_122>:2; <a_72>:1; <a_229>:1
<a_82>,40,0.675,0.1,37,0.43243243243243246,tape,adhesive_epoxy:15; tape:12; connector_fitting:10; other:2; gauge_meter:1,<a_74>:2; <a_187>:2; <a_81>:2; <a_122>:2; <a_103>:2
<a_52>,21,0.6666666666666667,0.09523809523809523,27,0.7407407407407407,connector_fitting,connector_fitting:18; other:2; gauge_meter:1,<a_222>:2; <a_81>:1; <a_112>:1; <a_20>:1; <a_31>:1
<a_120>,41,0.6585365853658536,0.21951219512195122,26,0.7692307692307693,other,other:30; connector_fitting:9; tape:2,<a_160>:3; <a_165>:2; <a_74>:2; <a_103>:2; <a_191>:2
<a_255>,28,0.6428571428571428,0.2857142857142857,19,0.7368421052631579,other,other:16; tape:12,<a_160>:3; <a_222>:3; <a_67>:2; <a_107>:1; <a_143>:1
<a_0>,61,0.639344262295082,0.08196721311475409,20,0.8,adhesive_epoxy,adhesive_epoxy:50; other:10; tape:1,<a_160>:5; <a_142>:3; <a_81>:3; <a_191>:2; <a_31>:2
<a_143>,33,0.6363636363636364,0.12121212121212122,32,0.59375,fastener,fastener:22; other:11,<a_88>:2; <a_142>:2; <a_81>:2; <a_19>:1; <a_157>:1
<a_106>,11,0.6363636363636364,0.0,22,0.9090909090909091,other,other:10; connector_fitting:1,<a_170>:2; <a_142>:2; <a_173>:1; <a_165>:1; <a_81>:1
<a_227>,11,0.6363636363636364,0.0,15,0.6,other,other:6; connector_fitting:5,<a_240>:1; <a_123>:1; <a_87>:1; <a_120>:1; <a_178>:1
<a_21>,13,0.6153846153846154,0.38461538461538464,17,0.9411764705882353,other,other:13,<a_73>:1; <a_67>:1; <a_81>:1; <a_215>:1; <a_107>:1
<a_81>,46,0.6086956521739131,0.17391304347826086,21,0.7619047619047619,gauge_meter,gauge_meter:39; other:7,<a_160>:5; <a_191>:2; <a_122>:2; <a_170>:2; <a_120>:1
<a_239>,12,0.5833333333333333,0.3333333333333333,26,0.8076923076923077,3d_filament,other:6; 3d_filament:6,<a_142>:6; <a_250>:1
<a_85>,24,0.5416666666666667,0.16666666666666666,38,0.868421052631579,gauge_meter,gauge_meter:17; fastener:4; other:3,<a_160>:4; <a_225>:1; <a_30>:1; <a_168>:1; <a_142>:1
<a_51>,13,0.5384615384615384,0.3076923076923077,15,0.8666666666666667,other,other:10; fastener:3,<a_148>:1; <a_122>:1; <a_83>:1; <a_160>:1; <a_249>:1
<a_222>,59,0.5254237288135593,0.22033898305084745,44,1.0,connector_fitting,connector_fitting:59,<a_160>:3; <a_199>:3; <a_103>:2; <a_14>:2; <a_81>:2
<a_194>,28,0.5,0.5,13,1.0,other,other:28,<a_142>:2; <a_140>:1; <a_123>:1; <a_222>:1; <a_24>:1
<a_31>,22,0.5,0.5,18,0.5555555555555556,other,other:19; ventilation_fan:3,<a_126>:2; <a_222>:2; <a_48>:1; <a_251>:1; <a_99>:1
<a_170>,20,0.5,0.15,20,0.95,other,other:20,<a_165>:2; <a_85>:1; <a_178>:1; <a_175>:1; <a_199>:1
<a_105>,18,0.5,0.05555555555555555,16,0.75,other,other:15; 3d_filament:3,<a_123>:2; <a_165>:2; <a_209>:1; <a_31>:1; <a_32>:1
